id,name,sn,tn,M,E,inlet,outlet,inlet_file
0,L_int_carotid_I,0,8,50,800000,1,0,L_int_carotid_I_inlet.dat
1,R_int_carotid_I,4,9,50,800000,2,0,R_int_carotid_I_inlet.dat
2,Basilar,2,6,50,1600000,3,0,Basilar_inlet.dat
3,L_int_carotid_II,8,11,50,1600000,0,0,
4,R_int_carotid_II,9,12,50,1600000,0,0,
5,L_PcoA,5,8,50,1600000,0,0,
6,R_PcoA,7,9,50,1600000,0,0,
7,L_MCA,11,10,50,1600000,0,1,
8,R_MCA,12,13,50,1600000,0,1,
9,L_ACA_A1,11,14,50,1600000,0,0,
10,R_ACA_A1,12,15,50,1600000,0,0,
11,L_PCA_P1,6,5,50,1600000,0,0,
12,R_PCA_P1,6,7,50,1600000,0,0,
13,L_ACA_A2,14,16,50,1600000,0,1,
14,R_ACA_A2,15,17,50,1600000,0,1,
15,AcoA,14,15,50,1600000,0,0,
16,L_PCA_P2,5,1,50,1600000,0,1,
17,R_PCA_P2,7,3,50,1600000,0,1,
